Feature,Importance
desafios_acessibilidade_Nenhum,0.2193082
pontuacao_dificuldade,0.21012215
desafios_acessibilidade_Baixo,0.20776796
id_usuario,0.19296752
desafios_acessibilidade_Médio,0.16983417
